列1,列2,列3,列4,列5,列6,列7,列8,列9,列10,列11,列12,列13
雅妈优选,待评价,【现货】臭宝螺蛳粉350g两包酸笋竹柳州螺狮粉广西螺丝粉米粉浓汤,"臭宝爆浓汤螺丝粉350g(2包酸笋),3袋【螺蛳粉】",￥32,×1,退货包运费保障中,先用后付 实付:￥27(免运费),立即评价,再次拼单,申请退款,更多,27
网诺笠铭专卖店,待评价,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"4号：8*12厘米,20丝白边100只【特厚】",￥4.33,×1,退货包运费保障中,先用后付 实付:￥4.33(免运费),立即评价,再次拼单,申请退款,更多,4.33
钦阳袋业,待评价,被子防尘袋搬家打包带袋手提收纳袋行李旅行袋防潮大容量加厚加大,"中号：长58*高40*侧宽25CM,【彩带加厚无纺布】军绿色",￥5.5,×1,退货包运费保障中,先用后付 实付:￥5.5(免运费),立即评价,再次拼单,申请退款,更多,5.5
平运科技,待评价,复制门禁卡2号ID卡复刻电子钥匙扣小区公寓出租房门禁定制万能扣,ID穿防火墙卡【4个特惠】需联系客服,￥15.11,×1,退货包运费保障中,先用后付 实付:￥15.11(免运费),立即评价,再次拼单,申请退款,更多,15.11
小脑斧优品,交易成功,粘春联对联专用无痕无残留透明双面胶年画婚车婚房不留胶易撕胶带,"18.1毫米宽*15.1米长+,1卷装",￥3.04,×1,退货包运费保障中,先用后付 实付:￥3.04(免运费),再次拼单,追加评价,申请退款,更多,3.04
酒店宾馆房卡订制,交易成功,取电卡万能通用型酒店宾馆房卡感应卡片插卡取电门卡高低频复合卡,取电卡【古风彩卡】,￥5.5,×1,退货包运费保障中,先用后付 实付:￥4.5(免运费),再次拼单,追加评价,申请退款,更多,4.5
麟瑞生活日用百货,交易成功,化妆刷收纳桶 刷桶刷子盒眉笔收纳盒筒化妆收纳化妆品口红置物架,带盖旋转笔筒【2个装】,￥15.99,×1,退货包运费保障中,实付:￥15.99(免运费),再次拼单,追加评价,申请退款,更多,15.99
军创运动户外专营店,交易成功,军创烧烤炉烧烤架子家用户外木炭烤肉折叠全套烧炭大小号野外工具,50长*16宽烤炉+礼品,￥41.5,×1,退货包运费保障中,先用后付 实付:￥32.5(免运费),再次拼单,追加评价,申请退款,更多,32.5
网诺笠铭专卖店,交易成功,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"3号：7*10厘米,16丝白边100只【加厚】",￥2.51,×1,退货包运费保障中,实付:￥2.36(免运费),再次拼单,追加评价,申请退款,更多,2.36
网诺笠铭专卖店,交易成功,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"2号：6*8厘米,16丝白边100只【加厚】",￥2.3,×1,退货包运费保障中,实付:￥2.17(免运费),再次拼单,追加评价,申请退款,更多,2.17
果真汇零食官方旗舰店,交易成功,水果味切片糖网红创意手工糖混合水果味棒棒糖散装喜糖果零食批发,250克（约110颗）,￥5.9,×1,先用后付 实付:￥5.9(免运费),再次拼单,追加评价,申请退款,更多,,5.9
灿业商贸,交易成功,六类千兆网线高速电脑水晶头百兆五类0.5米100米路由器监控网络线,"百兆稳定款【黑色】,5米",￥7.36,×1,先用后付 实付:￥2.36(免运费),再次拼单,追加评价,申请退款,更多,,2.36
小蝴蝶文化用品,交易成功,不干胶标签贴纸分类手写标签贴纸口取纸姓名贴纸小标签贴纸标价贴,"10张,403蓝（29*20mm）",￥2.79,×1,退货包运费保障中,实付:￥0.79(免运费),再次拼单,追加评价,申请退款,更多,0.79
笠铭创意礼品专营店,交易成功,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"1号：5*7cm,16丝白边100只【加厚】",￥1.89,×1,实付:￥1.89(免运费),再次拼单,追加评价,申请退款,更多,,1.89
笠铭创意礼品专营店,交易成功,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"0号：4*6cm,12丝白边100只【推荐】",￥1.16,×1,先用后付 实付:￥1.16(免运费),再次拼单,追加评价,申请退款,更多,,1.16
梦梦乡乡,已评价,免打孔挂钩超强力自粘挂壁式墙上无痕厨房卫生间浴室通用透明粘钩,UV胶固化超牢3层强化【100装】,￥14.7,×1,退货包运费保障中,先用后付 实付:￥9.7(免运费),再次拼单,追加评价,申请退款,更多,9.7
小俊哥食品专营店,交易成功,嘻螺会螺蛳粉原味爆款300g广西柳州正宗螺狮粉整箱批发螺丝粉,"10年老牌子嘻螺会,1袋麻辣（拍5件发5袋更划算）",￥6.66,×3,退货包运费保障中,实付:￥15.87(免运费),再次拼单,追加评价,申请退款,更多,15.87
小俊哥食品专营店,交易成功,嘻螺会螺蛳粉原味爆款300g广西柳州正宗螺狮粉整箱批发螺丝粉,"10年老牌子嘻螺会,1袋原味（拍5件发5袋更划算）",￥6.29,×2,退货包运费保障中,实付:￥10(免运费),再次拼单,追加评价,申请退款,更多,10
悠居坊,交易成功,透明塑料罐子密封罐食品级储物罐带盖五谷杂粮干果茶叶PET瓶批发,"厚85*85mm【450ml】,1个【含封片+标签】【破损漏水赔】",￥1.09,×1,退货包运费已失效,实付:￥1.09(免运费),再次拼单,追加评价,申请退款,更多,1.09
唯美日化小铺,交易成功,N9发膜免蒸修护毛燥干枯护理倒膜滑溜溜顺滑护发素焗油膏烫染头发,原装正品N9 发膜（理发店同款）,￥21.56,×1,退货包运费已失效,先用后付 实付:￥18.56(免运费),再次拼单,追加评价,申请退款,更多,18.56
聚优达居家日用品店,交易成功,不锈钢不掉渣钢丝球刷锅洗锅刷碗洗碗手柄刷子清洁球批发厨房神器,"掉渣包赔【大号】,一个球【无赠品】",￥1.01,×1,退货包运费已失效,实付:￥1.01(免运费),再次拼单,追加评价,申请退款,更多,1.01
绍坤包装材料,交易成功,加厚自封袋食品塑料包装袋可爱透明袋子小号塑封口袋密封袋子大号,"4.5号【宽9cm*高13cm】,薄【6丝】100只",￥1.65,×1,退货包运费已失效,实付:￥1.65(免运费),再次拼单,售后详情,追加评价,更多,1.65
新爵办公用品专营店,交易成功,20个装得力信封3 5 7号A4牛皮纸信封厚信封白色信封邮局信封邮寄,7号牛皮纸信封10个装,￥3.25,×1,实付:￥3.25(免运费),再次拼单,追加评价,申请退款,更多,,3.25
久和通讯,交易成功,适用OPPOreno后盖原装后盖曲屏RenoZ后壳原厂手机后玻璃盖 背屏,"后盖带散热贴 密封胶,RenoZ【星辰紫】 送工具 胶水",￥32,×1,退货包运费已失效,先用后付 实付:￥32(免运费),再次拼单,追加评价,申请退款,更多,32
嘻螺会旗舰店,交易成功,【尝鲜大礼包】嘻螺会柳州螺蛳粉广西特产螺丝粉方便面米线3袋,【经典三味】原味+浓汤+麻辣,￥19.5,×1,退货包运费已失效,先用后付 实付:￥12.5(免运费),再次拼单,申请退款,查看物流,删除订单,12.5
嘻螺会旗舰店,交易成功,【尝鲜大礼包】嘻螺会柳州螺蛳粉广西特产螺丝粉方便面米线3袋,【原味新包装】小辣椒305g*3,￥19.5,×1,退货包运费已失效,先用后付 实付:￥10.5(免运费),再次拼单,申请退款,查看物流,删除订单,10.5
福美来良品记,交易成功,酒精迷你喷瓶消毒喷瓶分装瓶细雾小喷瓶香水喷水喷雾器补水喷壶,"50毫升送漏斗,5个装",￥3.92,×1,退货包运费已失效,实付:￥3.91(免运费),钱款去向,售后详情,查看物流,删除订单,3.91
福建精品卫浴领航店,交易成功,九牧王免打孔花洒喷头固定器淋浴套装浴室卫生间莲蓬头支架花酒,"银色,单个装【今日仅剩10个】",￥10.26,×1,退货包运费已失效,先用后付 实付:￥5.26(免运费),再次拼单,申请退款,查看物流,删除订单,5.26
车比乐车品旗舰店,交易成功,汽车车门减震缓冲垫片防震垫贴车门异响改装静音减震隔音橡胶垫片,"宋专用型,2个体验装（单车门）",￥1.6,×1,退货包运费已失效,先用后付 实付:￥0.6(免运费),再次拼单,申请退款,查看物流,删除订单,0.6
蜂神养蜂合作社,交易成功,蜂蜜瓶塑料瓶1斤2斤5斤蜂蜜瓶子加厚透明收纳瓶密封罐储物罐批发,"1个装【试用装】,1斤装方型瓶黄盖【装水360ml】",￥3.81,×1,先用后付 实付:￥0.81(免运费),再次拼单,申请退款,查看物流,删除订单,,0.81
悠居坊,交易成功,透明塑料罐子密封罐食品级储物罐带盖五谷杂粮干果茶叶PET瓶批发,"厚85*65mm【350ml】,1个【含封片+标签】【破损漏水赔】",￥1.14,×1,退货包运费已失效,先用后付 实付:￥1.14(免运费),再次拼单,申请退款,查看物流,删除订单,1.14
三亿佳胶粘材料,交易成功,纳米强力防滑胶带可水洗无痕透明双面贴魔力地毯固定铺助粘胶贴片,"升级版可水洗,长5米-宽3厘米/加宽热销",￥5.1,×1,退货包运费已失效,先用后付 实付:￥5.1(免运费),再次拼单,申请退款,查看物流,删除订单,5.1
一冰家居馆,交易成功,加厚防摔小款自锁3米5米7.5米10米耐磨高精度卷尺测量工具尺米尺,"新款自锁款3米16MM,1把包邮",￥2.47,×1,退货包运费已失效,实付:￥2.47(免运费),再次拼单,申请退款,查看物流,删除订单,2.47
柒月主题家居,交易成功,餐桌垫桌布防水防油免洗皮革茶几垫子pvc防烫白色桌面垫餐桌台布,"芬兰白,40*60cm",￥8.8,×1,先用后付 实付:￥3.8(免运费),再次拼单,申请退款,查看物流,删除订单,,3.8
威亿达皮垫,交易成功,鼠标垫超大桌垫防水学生写字台垫笔记本键盘垫办公桌垫超大号皮质,"纯白+银色（正反面）,60*40cm",￥13.8,×1,退货包运费已失效,先用后付 实付:￥10.8(免运费),再次拼单,申请退款,查看物流,删除订单,10.8
承意X优品汇,交易成功,纳米双面胶强力无痕粘贴透明粘胶胶带魔力固定防水防滑耐高温贴片,"强力无痕超粘静电贴【万能粘片】,120片【小号】",￥8.5,×1,实付:￥5.5(免运费),再次拼单,申请退款,查看物流,删除订单,,5.5
嘉亿源办公用品官方旗舰店,交易成功,抖音纳米双面胶带可水洗无痕透明双面贴魔力地毯固定排插辅助粘胶,"升级版可水洗纳米胶,长1米-宽3厘米【加宽+强力型",￥1.77,×1,退货包运费已失效,实付:￥1.77(免运费),再次拼单,申请退款,查看物流,删除订单,1.77
长明殿,交易成功,热水瓶塞头通用开水瓶塞盖头保温暖水瓶塞子万能型软木暖水壶塞子,"大实木塞 【用于3.2L暖水瓶8磅】,2个装",￥3.71,×1,退货包运费已失效,先用后付 实付:￥3.71(免运费),再次拼单,申请退款,查看物流,删除订单,3.71
潮臣车饰,交易成功,清洁软胶汽车用品车内除尘内饰缝隙万能多功能键盘清洁泥粘灰神器,【大灌装升级配方】3瓶优惠装,￥6.17,×1,退货包运费已失效,实付:￥6.17(免运费),再次拼单,申请退款,查看物流,删除订单,6.17
PAPSTIN居家日用旗舰店,交易成功,全自动雨伞折叠男女韩版大号双人三折伞学生伞加固防风晴雨两用伞,【自动款】8骨豪华配色条纹款-墨绿,￥17,×1,退货包运费已失效,实付:￥17(免运费),再次拼单,申请退款,查看物流,删除订单,17
维美内物,交易成功,手撕袜薄款一次性性感调情黑丝美腿袜火辣情趣破洞易撕jk连裤袜女,"手撕袜（黑+黑+肤）3条装,M (70-90斤)",￥9.3,×1,先用后付 实付:￥8.3(免运费),再次拼单,申请退款,查看物流,删除订单,,8.3
鑫旺磁材,交易成功,带背胶圆形强磁吸铁石钕铁硼强磁铁双面胶长方形圆形磁铁贴片贴墙,圆形20*3毫米送胶（5个）,￥8.8,×1,实付:￥8.8(免运费),钱款去向,售后详情,查看物流,删除订单,,8.8
deli得力创一专卖店,已评价,得力透明胶带切割器胶带机小号文具胶带撕断器胶布架胶纸机胶带座,"白色（0.66kg）,胶带座1个+背宽12mm胶带12卷",￥14.5,×1,退货包运费已失效,实付:￥14.5(免运费),再次拼单,申请退款,查看物流,删除订单,14.5
米雪优选1,交易成功,香皂盒创意沥水放肥皂置物架免打孔吸盘个性可爱家用架子浴室神器,0721款 A/*/清新蓝 2个,￥7.8,×1,实付:￥2.8(免运费),再次拼单,申请退款,查看物流,删除订单,,2.8
潮臣车饰,交易成功,清洁软胶汽车用品车内除尘内饰缝隙万能多功能键盘清洁泥粘灰神器,【大灌装升级配方】3瓶优惠装,￥6.03,×1,退货包运费已失效,实付:￥6.03(免运费),再次拼单,申请退款,查看物流,删除订单,6.03
生活工具,交易成功,美工刀大号18mm不锈钢美工刀加厚壁纸刀软握包胶割纸刀裁纸刀刀片,"1把大号美工刀,默认（自带壹片刀片）",￥1.45,×1,退货包运费已失效,实付:￥1.45(免运费),再次拼单,申请退款,查看物流,删除订单,1.45
杉旸岂服饰箱包,交易成功,加厚防滑鞋贴高跟鞋皮鞋前掌防滑帖耐磨贴橡胶牛筋鞋底贴保护膜女,"【加厚款】厚度3mm（升级3M背胶）,【前掌贴】+【后跟贴】各1双",￥6.52,×1,退货包运费已失效,实付:￥5.52(免运费),再次拼单,申请退款,查看物流,删除订单,5.52
淳壹精品,交易成功,胶带机切割器手动封箱器打包器封箱透明胶带切割器撕断打包神器,"5厘米宽度通用款,1只装（体验价）",￥2.6,×1,实付:￥2.6(免运费),查看相似,申请退款,查看物流,删除订单,,2.6
晨日文具专营店,交易成功,晨光透明宽胶带加厚胶布家用高粘度整箱批发快递打包大卷封箱胶纸,"单卷价,宽45mm*40米",￥5.8,×1,实付:￥2.8(免运费),再次拼单,申请发票,申请退款,更多,,2.8
绍坤包装材料,交易成功,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"【宽10cm高15cm】,100只",￥2.22,×1,退货包运费已失效,实付:￥2.22(免运费),再次拼单,申请退款,查看物流,删除订单,2.22
豪邦五金,交易成功,挂锁防盗锁大门锁防水防锈防撬锁具通开锁家用小锁头宿舍锁子门锁,【单开】20mm 2把钥匙,￥1.5,×1,实付:￥1.5(免运费),再次拼单,申请退款,查看物流,删除订单,,1.5
新爵办公用品专营店,交易成功,20个装得力信封3 5 7号A4牛皮纸信封厚信封白色信封邮局信封邮寄,7号牛皮纸信封10个装,￥3.5,×1,退货包运费已失效,实付:￥3.5(免运费),再次拼单,申请退款,查看物流,删除订单,3.5
简单健康馆,交易成功,双面胶高粘度固定纳米贴片强力粘墙万能无痕贴排插固定器车载固定,超强无痕强力双面贴胶【60片】1盒装,￥4.2,×1,退货包运费已失效,实付:￥4.19(免运费),查看相似,申请退款,查看物流,删除订单,4.19
天晟磁铁工厂店,交易成功,3M背胶小磁铁贴片强磁强力圆形钕磁铁铷磁石长方形磁条磁性吸铁石,圆形15*3mm背胶磁铁（5个装）,￥6.8,×1,退货包运费已失效,实付:￥6.79(免运费),再次拼单,申请退款,查看物流,删除订单,6.79
第1包装,交易成功,pe自封袋密封袋子批发塑封袋子茶叶加厚食品保鲜透明包装袋封口袋,"（红边）8丝100个（常用款）,1号宽5*高7cm",￥1.1,×1,退货包运费已失效,实付:￥1.09(免运费),再次拼单,申请退款,查看物流,删除订单,1.09
第1包装,交易成功,pe自封袋密封袋子批发塑封袋子茶叶加厚食品保鲜透明包装袋封口袋,"（红边）8丝100个（常用款）,3号宽7*高10cm",￥1.53,×1,退货包运费已失效,实付:￥1.52(免运费),再次拼单,申请退款,查看物流,删除订单,1.52
豪邦五金,交易成功,挂锁防盗锁大门锁防水防锈防撬锁具通开锁家用小锁头宿舍锁子门锁,【单开】20mm 2把钥匙,￥1.5,×1,实付:￥1.5(免运费),再次拼单,申请退款,查看物流,删除订单,,1.5
天晟磁铁工厂店,交易成功,3M背胶小磁铁贴片强磁强力圆形钕磁铁铷磁石长方形磁条磁性吸铁石,方形15*3*2mm背胶磁铁（10个装）,￥3.9,×1,退货包运费已失效,实付:￥3.9(免运费),再次拼单,申请退款,查看物流,删除订单,3.9
绍坤包装材料,交易成功,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"【宽13cm高19cm】,100只",￥3.24,×1,退货包运费已失效,实付:￥3.24(免运费),再次拼单,申请退款,查看物流,删除订单,3.24
森农家居生活官方旗舰店,交易成功,水管软管pvc高压软水管浇地洗车橡胶塑料防冻4分6分水管家用,"蓝色4分厚度（2.0）,长度1米",￥1.7,×2,退货包运费已失效,实付:￥3.4(免运费),查看相似,申请退款,查看物流,删除订单,3.4
奇美智华专卖店,交易成功,奇美竖笛8孔高音英式B调专业演奏巴洛克式竖笛八孔初学者学生用笛,黑色高音英式B+吹奏说明+皮革袋,￥20.61,×1,退货包运费已失效,实付:￥19.61(免运费),再次拼单,申请退款,查看物流,删除订单,19.61
步一邦_1555,交易成功,金属收腰纽扣裤子纽扣免钉收腰牛仔扣可调节可拆卸免缝收腰钮扣子,"18#螺丝 牛仔扣,2颗装-送工具",￥2.83,×1,退货包运费已失效,实付:￥1.83(免运费),查看相似,申请退款,查看物流,删除订单,1.83
迪克甄选,交易成功,收腰纽扣免钉可拆卸万能扣子牛仔裤子腰围调节大改小神器免缝钮扣,纯黑2个装【送收纳盒+波纹发卡2个】,￥2.7,×1,退货包运费已失效,实付:￥2.7(免运费),再次拼单,申请退款,查看物流,删除订单,2.7
满山遍野的你,交易成功,摩易擦钢笔墨囊橡皮可擦蓝色墨囊热可擦磨易擦通用3.4mm替换,"30支（纯蓝）摩易擦墨囊,2支钢笔（送1个润笔器+1个橡皮擦）",￥17.91,×1,退货包运费已失效,实付:￥17.91(免运费),再次拼单,申请退款,查看物流,删除订单,17.91
粉家用小技能,交易成功,粘贴式支架带挂钩手机充电支架宿舍卧室厨房免打孔壁挂手机置物架,"-+薪升级可横放【可爱白】/*-+,【1个装】/-*髙强粘合力#",￥2.38,×1,实付:￥2.38(免运费),钱款去向,售后详情,查看物流,删除订单,,2.38
满山遍野的你,交易成功,摩易擦钢笔墨囊橡皮可擦蓝色墨囊热可擦磨易擦通用3.4mm替换,"10支（纯蓝）摩易擦墨囊,1支钢笔（送1支墨囊）",￥10.35,×1,退货包运费已失效,实付:￥10.35(免运费),再次拼单,申请退款,查看物流,删除订单,10.35
凯硕汽车用品会所,交易成功,电动车防雨罩加厚防尘防风摩托车防晒罩盖车雨布电瓶车车衣车罩,"铝膜加厚【亮银色】,L号加厚双耳【适用1.9米】",￥12.89,×1,退货包运费已失效,实付:￥10.89(免运费),再次拼单,申请退款,查看物流,删除订单,10.89
一个小兵的家居店,交易成功,特厚抽取式一次性手套盒装透明食品级PE薄膜手套餐饮美容防水烧烤,特厚两盒装【200只】,￥8.9,×1,退货包运费已失效,实付:￥6.9(免运费),再次拼单,申请退款,查看物流,删除订单,6.9
加吉百货工厂店,交易成功,小白鞋清洗剂擦鞋湿巾一次性白鞋清洗神器一擦白洗鞋刷鞋去黄鞋刷,"【不伤手+不伤鞋】新升级2021款,【仅限今日】亏本冲量240片",￥6.99,×1,退货包运费已失效,实付:￥6.99(免运费),再次拼单,售后详情,查看物流,删除订单,6.99
怡家家居收纳馆,交易成功,排插固定器墙上无痕插线板墙壁插座粘贴壁挂式电源免钉墙收纳墙面,排插固定器5个,￥4.5,×1,退货包运费已失效,实付:￥4.5(免运费),再次拼单,申请退款,查看物流,删除订单,4.5
绍坤包装材料,交易成功,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"【宽10cm高15cm】,100只",￥1.93,×1,退货包运费已失效,实付:￥1.93(免运费),再次拼单,申请退款,查看物流,删除订单,1.93
春辉五金旗舰店,交易成功,小米同款25件套多功能家用螺丝刀套装电脑拆手机维修精密工具套装,米家同款S2合金25合一 + 加磁器,￥9.1,×1,退货包运费已失效,实付:￥9.1(免运费),再次拼单,售后详情,查看物流,删除订单,9.1
凯晓硕车饰专营店,交易成功,加厚电动车防雨罩防晒罩防尘罩摩托车电瓶车车衣车罩车套四季通用,"加厚铝膜【银色】,S双耳加厚【适用1.6米内】",￥9.61,×1,实付:￥8.61(免运费),再次拼单,申请退款,查看物流,删除订单,,8.61
远大塑料制品,交易成功,塑料收纳箱装衣服特大号收纳盒学生整理箱玩具车载储物箱神器带盖,"北欧灰【升级加厚款】,3件套【小号+小号+小号】仅7.8元",￥7.8,×1,退货包运费已失效,实付:￥6.8(免运费),查看相似,申请退款,查看物流,删除订单,6.8
恬跃家居官方旗舰店,交易成功,迷你便携封口机日式小型家用零食塑料袋封口器手压式电热密封器,升级款白色2个装（送4节碱性电池）,￥8.72,×1,退货包运费已失效,实付:￥8.72(免运费),查看相似,申请退款,查看物流,删除订单,8.72
仙语饰品,交易成功,简约磨砂发箍甜美百搭洗脸压发防滑碎发头箍外戴网红发卡韩国发饰,2件套 ：【黑色+藏青色】,￥3.57,×1,退货包运费已失效,实付:￥3.57(免运费),再次拼单,申请退款,查看物流,删除订单,3.57
TanLook照明旗舰店,交易成功,酷壁灯USB灯长条灯宿舍神器LED宿舍神灯书桌阅读护眼灯管化妆灯,"45CM-三档无极【学习护眼】,【USB接口】+无插头",￥16.8,×1,退货包运费已失效,实付:￥13.8(免运费),再次拼单,申请退款,查看物流,删除订单,13.8
芒果精品百货,交易成功,除螨包去螨虫神器天然草本植物螨虫包除螨虫家用床上袪螨包螨虫净,"【除螨虫+抑菌+香味十足】,20包（80平米有效）升级款",￥5.7,×1,退货包运费已失效,实付:￥5.7(免运费),再次拼单,申请退款,查看物流,删除订单,5.7
奥顿家居生活,交易成功,可挂式除湿袋吸潮家用干燥剂防潮剂衣柜防霉除湿盒去味除潮吸湿袋,"#超级大包装230g【无敌祛湿】#.,+10包装【更多人的选择】#.",￥10.88,×1,退货包运费已失效,实付:￥10.88(免运费),再次拼单,申请退款,查看物流,删除订单,10.88
一个小兵的家居店,交易成功,特厚抽取式一次性手套盒装透明食品级PE薄膜手套餐饮美容防水烧烤,特厚两盒装【200只】,￥8.9,×1,退货包运费已失效,实付:￥6.9(免运费),再次拼单,申请退款,查看物流,删除订单,6.9
粉家用小技能,已评价,粘贴式支架带挂钩手机充电支架宿舍卧室厨房免打孔壁挂手机置物架,"-+薪升级可横放【可爱白】/*-+,#（2个装）+髙强粘合力",￥2.98,×1,退货包运费已失效,实付:￥2.98(免运费),再次拼单,申请退款,查看物流,删除订单,2.98
昭文家居生活专营店,已评价,牙刷架套装免打孔刷牙杯子漱口杯牙膏挤压器牙杯家用洗漱台置物架,单杯牙刷架,￥5.8,×1,实付:￥2.8(免运费),再次拼单,申请退款,查看物流,删除订单,,2.8
昭文家居生活专营店,已评价,牙刷架套装免打孔刷牙杯子漱口杯牙膏挤压器牙杯家用洗漱台置物架,单杯牙刷架,￥5.8,×1,实付:￥2.8(免运费),再次拼单,申请退款,查看物流,删除订单,,2.8
诚信优选好配件,已评价,加厚花洒支架打孔浴室洗澡喷头固定器挂座通用淋浴大元宝花洒底座,"加厚底座（送螺丝）,1个装",￥2.16,×1,实付:￥2.16(免运费),再次拼单,申请退款,查看物流,删除订单,,2.16
小饼快跑,已评价,纸币保护袋1234号收纳盒人民币纪念币收藏盒纪念钞保护壳钱币袋夹,"1个纸币保护空盒（没袋就一个收纳盒）,1件",￥3.5,×1,退货包运费已失效,实付:￥3.5(免运费),再次拼单,申请退款,查看物流,删除订单,3.5
优选有家,已评价,厨房锅盖架菜板置物多功能收纳宜家放砧板架子不锈钢刀插刀架用品,"加粗3层锅盖架,高贵银",￥5.6,×1,退货包运费已失效,实付:￥5.6(免运费),再次拼单,申请退款,查看物流,删除订单,5.6
吻尼日用企业店,已评价,擦手巾挂式厨房加厚柔软吸水可爱儿童擦手巾卫生间擦手小毛巾抹布,"简约风擦手巾【超级吸水柔软】,1条装【试用款】",￥3.05,×1,实付:￥3.05(免运费),再次拼单,申请退款,查看物流,删除订单,,3.05
迈包包的小店_4176,交易成功,卡帝乐鳄鱼正品男士短款钱包短款男学生钱包钱夹包竖款钱包男钱包,黑鱼丝印【带多功能卡位】,￥1,×1,实付:￥1(免运费),查看相似,申请退款,查看物流,删除订单,,1
汇总,,,,,88,,,,,,,578.38
